,SIPBF,ARIMA,SBL,SINDy,LSTM,GRU,ResNet,Autoformer
Data-set_1,0.2472686767578125,30.87425470352173,0.0568616390228271,0.0223901271820068,1626.3653104305267,1607.1175677776337,71.88335824012756,92.80219984054564
Data-set_2,0.0325620174407959,56.34632349014282,0.0032422542572021,0.0078504085540771,482.761301279068,337.2208573818207,38.53667974472046,0.0
Data-set_3,0.0321948528289794,176.48783540725708,0.0270850658416748,0.011521577835083008,1495.2213716506958,1025.8461563587189,124.19396734237672,0.0
